,name,artist,album,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
207,Blessings,Big Sean,Dark Sky Paradise,0.79,0.621,1,-7.634,1,0.275,0.333,0.0,0.122,0.15,118.895
208,Wanna Know Remix (feat. Drake),Dave,Wanna Know Remix (feat. Drake),0.717,0.507,4,-8.595,0,0.0445,0.0741,3.21e-05,0.241,0.198,100.017
209,For Free,DJ Khaled,For Free,0.916,0.571,10,-8.241,0,0.2,0.0173,1.11e-06,0.153,0.498,103.521
210,I'm On One,DJ Khaled,We The Best Forever,0.519,0.802,11,-3.449,0,0.296,0.0606,0.0,0.606,0.414,150.013
211,No Shopping,French Montana,No Shopping,0.895,0.49,10,-10.31,0,0.251,0.0125,0.00101,0.142,0.257,83.508
212,Where Ya At (feat. Drake),Future,DS2 (Deluxe),0.813,0.453,1,-6.941,1,0.338,0.0933,0.0,0.14,0.191,161.997
213,Never Satisfied (feat. Drake),Future,Honest,0.616,0.623,9,-7.233,1,0.308,0.501,7.5e-06,0.243,0.458,143.888
214,100it Racks,Future,Project E.T.,0.82,0.599,10,-9.796,0,0.141,0.226,0.0489,0.105,0.356,137.022
215,100 (feat. Drake),The Game,The Documentary 2,0.801,0.521,4,-9.871,0,0.28,0.0136,0.0,0.179,0.412,108.025
216,Back on Road,Gucci Mane,Everybody Looking,0.833,0.673,1,-6.981,0,0.315,0.329,0.0,0.136,0.753,148.019
217,Tuesday (feat. Drake),ILOVEMAKONNEN,I LOVE MAKONNEN,0.77,0.664,0,-5.604,1,0.211,0.215,0.000118,0.105,0.472,140.163
218,Poetic Justice,Kendrick Lamar,"good kid, m.A.A.d city (Deluxe)",0.779,0.572,6,-9.985,0,0.378,0.157,0.0,0.246,0.647,135.956
219,Believe Me,Lil Wayne,Believe Me,0.842,0.482,10,-8.846,0,0.181,0.281,0.0,0.111,0.205,92.023
220,Grindin',Lil Wayne,Grindin',0.797,0.521,1,-8.21,1,0.204,0.0118,0.0,0.564,0.391,103.985
221,Right Above It,Lil Wayne,I Am Not A Human Being,0.546,0.841,3,-4.303,0,0.307,0.0441,0.0,0.538,0.506,75.975
222,Love Me,Lil Wayne,Love Me,0.672,0.632,8,-6.426,0,0.033,0.0133,0.0,0.108,0.501,124.931
223,R.I.C.O. (feat. Drake),Meek Mill,Dreams Worth More Than Money,0.727,0.599,1,-6.941,1,0.327,0.317,0.0,0.219,0.386,167.909
224,Versace (Remix),Migos,Versace (feat. Drake) [Remix] - Single,0.845,0.705,6,-4.271,0,0.243,0.0218,0.0,0.339,0.334,132.05
225,Truffle Butter,Nicki Minaj,Truffle Butter,0.896,0.674,10,-6.89,0,0.0499,0.0644,1.83e-05,0.12,0.516,105.096
226,Schemin Up (feat. Drake and P. Reign),OB OBrien,Schemin Up (feat. Drake and P. Reign),0.752,0.766,1,-5.11,1,0.251,0.338,0.0,0.0861,0.501,141.82
227,Over Here (feat. Drake),PARTYNEXTDOOR,PARTYNEXTDOOR,0.794,0.592,8,-6.973,1,0.129,0.0384,1.86e-05,0.111,0.177,97.201
228,Come and See Me (feat. Drake),PARTYNEXTDOOR,PARTYNEXTDOOR 3 (P3),0.717,0.347,11,-10.265,0,0.0636,0.0511,2.43e-06,0.087,0.0589,84.987
229,Work,Rihanna,ANTI,0.725,0.534,11,-6.238,1,0.0946,0.0752,0.0,0.0919,0.558,91.974
230,What's My Name?,Rihanna,Loud,0.692,0.786,2,-2.959,1,0.069,0.23,0.0,0.0797,0.583,100.025
231,Who Do You Love?,YG,My Krazy Life,0.681,0.406,4,-9.83,1,0.437,0.0304,0.0,0.0892,0.172,193.068
232,Why You Always Hatin?,YG,Still Brazy (Deluxe),0.927,0.362,0,-9.329,0,0.591,0.0442,0.0,0.139,0.389,93.008
233,Trophies,Young Money,Rise Of An Empire (Deluxe Edition),0.74,0.694,1,-7.488,1,0.505,0.153,0.0,0.137,0.249,143.894
234,4 My Town (Play Ball),Birdman,Pricele$$ (UK Deluxe Edition),0.615,0.619,1,-6.567,1,0.231,0.0546,0.0,0.31,0.521,152.105
235,Mo Milly,Birdman,Pricele$$ (UK Deluxe Edition),0.677,0.95,1,-3.807,1,0.213,0.0114,0.0,0.163,0.801,151.955
236,Loving You No More,Diddy - Dirty Money,Last Train To Paris [Deluxe (Explicit Version)],0.427,0.682,8,-2.268,0,0.037,0.0288,0.0,0.175,0.455,189.948
237,Pop That,French Montana,Pop That,0.739,0.912,2,-1.253,1,0.113,0.0596,0.0,0.65,0.582,137.998
238,Good Girls Go Bad,The Game,The R.E.D. Album,0.38,0.84,1,-4.528,0,0.311,0.0291,0.0,0.87,0.387,159.939
239,In the Morning,J. Cole,Cole World: The Sideline Story,0.44,0.671,3,-10.598,0,0.477,0.764,0.0,0.212,0.479,83.078
240,Fall For Your Type (feat. Drake),Jamie Foxx,Best Night Of My Life,0.593,0.393,1,-11.736,1,0.0827,0.394,3.24e-06,0.11,0.193,136.866
241,Right Here,Justin Bieber,Believe,0.639,0.57,1,-4.966,1,0.042,0.0233,0.0,0.329,0.728,92.073
242,Gonorrhea,Lil Wayne,I Am Not A Human Being,0.715,0.745,9,-5.71,1,0.251,0.0311,0.0,0.0823,0.688,148.043
243,With You,Lil Wayne,I Am Not A Human Being (Explicit Version),0.391,0.467,8,-7.451,1,0.0622,0.762,0.0,0.242,0.468,150.783
244,She Will,Lil Wayne,Tha Carter IV (Deluxe),0.364,0.841,8,-4.831,1,0.119,0.000402,0.0,0.242,0.0841,100.14
245,It's Good,Lil Wayne,Tha Carter IV (Deluxe),0.665,0.714,8,-7.292,1,0.158,0.0246,0.0,0.119,0.0999,85.368
246,My Love (feat. Drake),Majid Jordan,Majid Jordan,0.624,0.536,2,-9.575,0,0.0799,0.109,0.000428,0.102,0.131,119.088
247,Mr. Wrong,Mary J. Blige,My Life II...The Journey Continues (Act 1),0.694,0.674,0,-4.991,0,0.164,0.202,1.22e-05,0.138,0.46,143.067
248,Only,Nicki Minaj,Only,0.866,0.506,8,-6.913,0,0.469,0.359,0.0,0.0922,0.272,119.954
249,Champion,Nicki Minaj,Pink Friday ... Roman Reloaded,0.453,0.697,1,-4.759,1,0.039,0.00653,0.0,0.469,0.0486,164.126
250,DnF (feat. Drake & Future),Preme,DnF (feat. Drake & Future),0.721,0.607,0,-7.078,0,0.277,0.0958,0.0,0.29,0.59,76.987
251,Diced Pineapples,Rick Ross,"God Forgives, I Don't (Deluxe Edition)",0.511,0.734,6,-6.025,0,0.239,0.352,0.0,0.196,0.377,110.771
252,Stay Schemin,Rick Ross,Stay Schemin,0.448,0.719,7,-4.179,0,0.291,0.0833,0.0,0.162,0.301,162.09
253,Aston Martin Music,Rick Ross,Teflon Don,0.57,0.58,10,-5.547,0,0.209,0.0125,0.0,0.0497,0.405,171.917
254,Drama (feat. Drake),Roy Woods,Exis,0.709,0.362,11,-9.814,1,0.055,0.157,0.0,0.109,0.113,122.043
255,So Good,Shanell,So Good,0.574,0.797,0,-8.617,0,0.0677,0.000744,0.0,0.331,0.319,157.954
256,Know Bout Me,Timbaland,Know Bout Me,0.788,0.714,2,-6.757,1,0.0538,0.0437,0.0041,0.338,0.181,107.004
257,Say Something (Featuring Drake),Timbaland,Shock Value II (International Deluxe version),0.555,0.713,11,-4.549,1,0.0911,0.0845,0.0,0.712,0.725,79.934
258,Still Got It,Tyga,Still Got It,0.51,0.864,8,-4.795,0,0.372,0.375,1.15e-06,0.434,0.239,119.198
259,The Zone,The Weeknd,Trilogy,0.616,0.523,3,-8.105,0,0.0839,0.305,0.000411,0.1,0.258,139.951
260,"3 on (feat. Tinashe, Drake)",ScHoolboy Q,Schoolboy Q 2,0.797,0.569,9,-8.554,1,0.112,0.153,0.0,0.296,0.51,101.02
261,Cabaret (feat. Drake),Justin Timberlake,The 20/20 Experience - 2 of 2 (Deluxe),0.692,0.735,8,-5.132,1,0.0881,0.106,4.59e-06,0.239,0.333,120.154
262,Recognize (feat. Drake),PARTYNEXTDOOR,PARTYNEXTDOOR TWO,0.643,0.541,2,-5.801,1,0.0426,0.0102,0.0,0.102,0.165,119.499
263,Odio (feat. Drake),Romeo Santos,"Fórmula, Vol. 2 (Deluxe Edition)",0.802,0.725,0,-5.965,0,0.0676,0.574,0.0,0.0821,0.598,128.04
264,Killer (feat. Drake),Nipsey Hussle,Bullets Ain't Got No Name Vol. 3.1,0.573,0.704,8,-7.45,0,0.297,0.0499,0.0,0.0821,0.371,76.409
265,Fo Real,Future,Notice Me,0.496,0.645,7,-6.369,1,0.196,0.282,0.0,0.135,0.764,144.707
266,No Guns Allowed (feat. Drake & Cori B.),Snoop Lion,Reincarnated (Deluxe Version),0.683,0.606,1,-7.057,1,0.0476,0.158,0.0,0.11,0.369,131.926
267,"F**kin' Problems (feat. Drake, 2 Chainz & Kendrick Lamar)",A$AP Rocky,LONG.LIVE.A$AP (Deluxe Version),0.869,0.687,1,-6.816,1,0.263,0.0208,1e-06,0.114,0.668,96.006
268,I Do It,2 Chainz,B.O.A.T.S. II #METIME,0.603,0.701,11,-4.495,0,0.188,0.183,0.0,0.193,0.603,145.346
269,Amen (feat. Drake),Meek Mill,Dreams and Nightmares,0.503,0.795,10,-4.505,1,0.335,0.178,0.0,0.042,0.265,149.981
270,We In This 1.5 (feat. Drake and Future),DJ Drama,We In This 1.5 (feat. Drake and Future),0.462,0.843,4,-4.903,0,0.135,0.201,0.0,0.434,0.494,153.877
271,Tony Montana (feat. Drake),Future,Pluto,0.671,0.738,10,-5.328,0,0.072,0.0112,0.0,0.286,0.212,143.161
272,Round of Applause (feat. Drake),Waka Flocka Flame,Round of Applause (feat. Drake),0.712,0.758,9,-4.835,1,0.26,0.343,0.0,0.141,0.903,140.02
273,Poppin Bottles (feat. Drake),T.I.,No Mercy,0.629,0.853,0,-4.36,1,0.104,0.00189,0.0,0.34,0.373,78.033
274,Put It Down (feat. Drake),Bun B,Trill O.G.,0.767,0.83,5,-5.188,0,0.211,0.188,0.0,0.0755,0.884,150.049
275,Moment 4 Life,Nicki Minaj,Pink Friday,0.651,0.888,11,-3.821,1,0.295,0.375,0.0,0.299,0.371,97.946
276,The One,Mary J. Blige,Stronger withEach Tear,0.854,0.671,11,-6.303,1,0.254,0.176,0.0,0.261,0.366,104.038
277,It's Been a Pleasure,Bun B,Trill O.G.,0.569,0.759,6,-6.412,0,0.173,0.0687,0.0,0.356,0.154,153.923
278,What Up,Pimp C,The Naked Soul of Sweet Jones,0.417,0.764,1,-5.364,1,0.458,0.0494,0.0,0.156,0.525,159.952
279,I Invented Sex (feat. Drake),Trey Songz,Ready,0.69,0.76,0,-4.778,1,0.0587,0.0678,0.0,0.184,0.468,89.958
280,Money To Blow - Street Version,Birdman,Pricele$$ (UK Deluxe Edition),0.708,0.578,6,-8.686,1,0.0631,0.0095,0.0,0.353,0.696,133.03
281,Used to This (feat. Drake),Future,Used to This (feat. Drake),0.618,0.727,3,-7.224,0,0.208,0.0312,0.0,0.196,0.401,164.992
282,No New Friends - SFTB Remix,DJ Khaled,Suffering From Success (Deluxe Version),0.699,0.673,2,-6.337,1,0.158,0.00595,0.0,0.459,0.231,124.978
283,BedRock,Young Money,We Are Young Money,0.733,0.664,8,-6.163,1,0.295,0.102,0.0,0.191,0.557,148.005
284,Forever,Drake,Forever,0.459,0.925,5,-1.327,0,0.35,0.248,0.0,0.174,0.533,104.855
285,EveryGirl In The World,Young Money,We Are Young Money,0.605,0.744,4,-5.5,1,0.252,0.00291,0.0,0.319,0.743,76.171
286,Stuntin,Lil Wayne,Dedication 3 Gangsta Grillz,0.778,0.66,1,-9.508,1,0.496,0.074,0.0,0.282,0.743,118.377
287,I'm Still Fly feat. Drake - Dirty,Page,I'm Still Fly (feat. Drake),0.495,0.579,9,-7.474,1,0.158,0.00097,0.0,0.299,0.22,104.267
288,Both (feat. Drake),Gucci Mane,The Return of East Atlanta Santa,0.85,0.405,7,-7.509,0,0.225,0.119,0.000118,0.0707,0.344,139.976
289,Made Men,DJ Rell,DJ Rell Presents: Dope Boy Flows,0.755,0.618,7,-6.575,1,0.247,0.00456,0.0,0.343,0.159,138.014
290,Ojuelegba (Remix),Wizkid,Best of Wizkid,0.738,0.75,9,-7.546,0,0.0989,0.156,0.0,0.287,0.925,100.062
291,Mine (feat. Drake),Beyoncé,BEYONCÉ [Platinum Edition],0.557,0.428,5,-11.306,1,0.136,0.0673,0.0019,0.144,0.0996,103.009
292,"Digital Girl Remix (feat. Drake, Kanye West & The-Dream) - Original Remix",Jamie Foxx,"Digital Girl Remix (feat. Drake, Kanye West & The-Dream) [Original Remix]",0.533,0.674,1,-5.862,1,0.358,0.018,0.0,0.0906,0.602,213.737
293,"Faith, Pt. 2",Kos,Muchmusic Presents: K-Os Live,0.805,0.54,11,-9.299,0,0.103,0.336,0.0,0.206,0.412,112.754
294,Unusual (feat. Drake),Trey Songz,"Passion, Pain & Pleasure",0.591,0.658,0,-5.881,0,0.195,0.182,0.0,0.615,0.623,81.933
295,Change You,Jenna,The Radio Singles,0.482,0.698,6,-6.701,0,0.35,0.0924,0.0,0.0719,0.899,132.981
296,Un-thinkable (I'm Ready) (feat. Drake) - Remix,Alicia Keys,Un-thinkable (I'm Ready) (feat. Drake) [Remix],0.531,0.603,7,-6.242,1,0.0944,0.728,0.0,0.11,0.228,86.162
297,Bad Meaning Good,Beatchild,"BBE20 - Attitude, Belief & Determination",0.714,0.707,6,-5.828,1,0.38,0.413,0.0,0.125,0.554,95.023
298,Celebration (feat. Drake),Tank,Now or Never,0.691,0.675,3,-5.612,0,0.146,0.345,0.0,0.229,0.925,73.024
299,Seeing Green (with Drake & Lil Wayne),Nicki Minaj,Beam Me Up Scotty,0.573,0.867,5,-2.876,0,0.168,0.0853,0.0,0.38,0.231,74.861
300,Best I Ever Had Remix,Nicki Minaj,Beam Me Up Scotty,0.4,0.874,8,-2.698,1,0.281,0.232,0.0,0.16,0.647,160.794
301,Successful (with Drake),Trey Songz,Ready,0.567,0.457,8,-8.062,1,0.408,0.542,0.0,0.221,0.311,159.669
302,Solid (feat. Drake),Young Stoner Life,Slime Language 2,0.887,0.485,11,-9.358,0,0.2,0.0392,0.0,0.141,0.328,125.987
303,No Guidance (feat. Drake),Chris Brown,No Guidance (feat. Drake),0.698,0.454,1,-6.756,0,0.151,0.123,0.0,0.155,0.137,92.932
304,Lemon Pepper Freestyle (feat. Rick Ross),Drake,Scary Hours 2,0.77,0.637,1,-5.53,1,0.345,0.103,0.0,0.171,0.431,94.966
305,Wants and Needs (feat. Lil Baby),Drake,Scary Hours 2,0.578,0.449,1,-6.349,1,0.286,0.0618,2.17e-06,0.119,0.1,136.006
306,What’s Next,Drake,Scary Hours 2,0.781,0.594,0,-6.959,0,0.0485,0.0136,0.0,0.162,0.0628,129.895
307,Talk To Me,Drakeo the Ruler,The Truth Hurts,0.773,0.281,1,-9.781,1,0.11,0.24,0.0,0.112,0.465,102.019
308,It's Like That,The Superstarz Kids,Hip Hop Dance Mix,0.974,0.607,8,-10.347,1,0.0906,0.00732,0.0,0.0888,0.627,120.961
309,Kick Push,The Superstarz Kids,Hip Hop Dance Mix,0.734,0.64,5,-10.312,1,0.0719,0.0119,6.19e-05,0.164,0.487,95.017
310,Basketball,The Superstarz Kids,Hip Hop Dance Mix,0.914,0.486,6,-10.701,0,0.185,0.0343,0.0,0.293,0.877,107.773
311,B.B. King Freestyle (with Drake),Lil Wayne,B.B. King Freestyle,0.664,0.553,11,-8.316,1,0.415,0.455,0.0,0.181,0.722,87.009
312,Finale,Young Money,We Are Young Money,0.562,0.859,10,-6.481,0,0.45,0.00331,0.0,0.411,0.454,169.789
313,"Fed Up (feat. Lil Wayne, Usher, Drake, Young Jeezy, Rick Ross)",DJ Khaled,Victory,0.349,0.795,8,-5.013,0,0.354,0.0707,0.0,0.481,0.552,178.059
314,You’re Mines Still (feat. Drake),Yung Bleu,You’re Mines Still (feat. Drake),0.575,0.609,5,-4.88,0,0.121,0.317,0.0,0.105,0.339,83.004
315,My Darling - Feat. Lil’ Wayne & Drake,Various Artists,The Usual Suspects,0.368,0.831,6,-7.611,0,0.488,0.0246,0.0,0.192,0.803,68.317
316,"Street Cred (Feat. DJ Drama, Drake & Killer Mike)",Gucci Mane,Guccimerica,0.406,0.83,5,-6.028,1,0.516,0.384,0.0,0.709,0.569,78.784
317,Mr. Right Now (feat. Drake),21 Savage,SAVAGE MODE II,0.647,0.667,5,-5.563,1,0.304,0.231,0.0,0.133,0.704,172.08
318,Outta Time (feat. Drake),Bryson Tiller,A N N I V E R S A R Y,0.714,0.582,5,-7.272,0,0.0808,0.0129,0.0,0.0774,0.338,92.819
319,Laugh Now Cry Later (feat. Lil Durk),Drake,Laugh Now Cry Later (feat. Lil Durk),0.761,0.518,0,-8.871,1,0.134,0.244,3.47e-05,0.107,0.522,133.976
320,ALL I NEED (feat. Drake),Popcaan,FIXTAPE,0.573,0.427,10,-9.0,0,0.05,0.0675,9.25e-05,0.101,0.127,91.405
321,TWIST & TURN (feat. Drake & PARTYNEXTDOOR),Popcaan,FIXTAPE,0.571,0.747,7,-4.659,1,0.17,0.478,0.0,0.116,0.635,106.253
322,Gold Roses (feat. Drake),Rick Ross,Port of Miami 2,0.502,0.633,1,-5.8,1,0.419,0.00991,0.0,0.389,0.552,83.226
323,Only You Freestyle,Headie One,Only You Freestyle,0.68,0.826,5,-2.561,1,0.27,0.562,0.0,0.254,0.804,146.95
324,POPSTAR (feat. Drake),DJ Khaled,POPSTAR (feat. Drake),0.8,0.56,5,-4.818,0,0.261,0.057,0.0,0.134,0.45,163.071
325,GREECE (feat. Drake),DJ Khaled,GREECE (feat. Drake),0.695,0.343,5,-10.798,1,0.0432,0.0743,1.04e-06,0.107,0.229,85.84
326,Oprah’s Bank Account (Lil Yachty & DaBaby feat. Drake),Lil Yachty,Oprah’s Bank Account (Lil Yachty & DaBaby feat. Drake),0.836,0.617,0,-4.363,1,0.0534,0.17,0.0,0.319,0.866,138.066
327,LOYAL (feat. Drake and Bad Bunny) - Remix,PARTYNEXTDOOR,LOYAL (feat. Drake and Bad Bunny) [Remix],0.877,0.529,0,-6.235,0,0.0461,0.479,0.00159,0.094,0.422,104.984
328,Life Is Good (feat. Drake),Future,Life Is Good (feat. Drake),0.676,0.609,2,-5.831,0,0.481,0.0706,0.0,0.152,0.508,142.037
329,Off That,JAY-Z,The Blueprint 3,0.564,0.929,1,-3.839,1,0.275,0.279,0.0,0.149,0.808,110.539
330,Behind Barz - Bonus,Drake,Top Boy (A Selection of Music Inspired by the Series),0.854,0.554,8,-4.684,1,0.172,0.769,1.84e-06,0.0749,0.272,142.069
331,Ela É do Tipo (feat. Drake) - Remix,MC Kevin o Chris,Ela É do Tipo (feat. Drake) [Remix],0.576,0.524,6,-5.428,1,0.24,0.89,0.0,0.108,0.715,99.387
332,LOYAL (feat. Drake),PARTYNEXTDOOR,LOYAL (feat. Drake),0.866,0.53,0,-6.347,0,0.0495,0.517,0.00159,0.0946,0.203,104.952
333,Won't Be Late (feat. Drake),Swae Lee,Won't Be Late (feat. Drake),0.915,0.588,7,-6.302,0,0.0677,0.0824,0.000169,0.104,0.329,123.936
334,Money In The Grave (Drake ft. Rick Ross),Drake,The Best In The World Pack,0.831,0.502,10,-4.045,0,0.046,0.101,0.0,0.122,0.101,100.541
335,Omertà,Drake,The Best In The World Pack,0.646,0.899,6,-2.232,1,0.298,0.0337,0.0,0.232,0.685,164.119
336,Girls Need Love (with Drake) - Remix,Summer Walker,Girls Need Love (with Drake) [Remix],0.656,0.432,6,-9.481,0,0.217,0.443,0.0,0.132,0.0897,97.022
337,All Of The Lights - (Remix),Evil Empire,Trending Topics: March Madness,0.457,0.81,10,-5.735,0,0.217,0.0485,0.0,0.605,0.642,141.434
338,Going Bad (feat. Drake),Meek Mill,Championships,0.889,0.496,4,-6.365,0,0.0905,0.259,0.0,0.252,0.544,86.003
339,FLIP THE SWITCH (feat. Drake),Quavo,QUAVO HUNCHO,0.853,0.637,3,-5.924,0,0.331,0.129,0.0,0.267,0.496,86.048
340,MIA (feat. Drake),Bad Bunny,MIA (feat. Drake),0.817,0.539,6,-6.349,0,0.0621,0.0141,0.000496,0.099,0.158,97.062
341,"Never Recover (Lil Baby & Gunna, Drake)",Lil Baby,Drip Harder,0.753,0.686,1,-5.415,0,0.284,0.0677,0.0,0.193,0.886,132.055
342,No Stylist (feat. Drake),French Montana,No Stylist,0.765,0.704,5,-4.589,0,0.127,0.0215,0.0,0.227,0.498,147.055
343,SICKO MODE,Travis Scott,ASTROWORLD,0.834,0.73,8,-3.714,1,0.222,0.00513,0.0,0.124,0.446,155.008
344,Bigger Than You (feat. Drake & Quavo),2 Chainz,Bigger Than You feat. Drake & Quavo,0.888,0.515,1,-6.246,1,0.271,0.247,0.0,0.446,0.264,141.009
345,Yes Indeed,Lil Baby,Yes Indeed,0.964,0.346,5,-9.309,0,0.53,0.035,0.0,0.108,0.562,119.958
346,Lemon (feat. Drake) - Drake Remix,N.E.R.D,Lemon (feat. Drake) [Drake Remix],0.777,0.657,1,-6.434,1,0.237,0.000738,3.34e-06,0.0932,0.245,189.992
347,Look Alive (feat. Drake),BlocBoy JB,Look Alive (feat. Drake),0.922,0.581,10,-7.495,1,0.27,0.00104,5.86e-05,0.105,0.595,140.022
348,Walk It Talk It,Migos,Culture II,0.909,0.631,9,-5.447,1,0.205,0.0717,0.0,0.108,0.394,145.968
349,Diplomatic Immunity,Drake,Scary Hours,0.663,0.846,0,-5.226,1,0.453,0.00472,0.0,0.292,0.526,75.137
350,Sunflower (feat. Drake),Lenny Kravitz,Black and White America,0.41,0.777,5,-8.538,1,0.047,0.00324,0.00125,0.0837,0.609,116.477
351,In My Business (Feat. Drake & Sean Garrett),Gucci Mane,Guccimerica,0.735,0.714,9,-5.798,0,0.243,0.39,0.0,0.408,0.879,140.001
352,Bring It Back (with Drake & Mike WiLL Made-It),Trouble,Bring It Back (with Drake & Mike WiLL Made-It),0.878,0.318,6,-5.81,0,0.403,0.234,5.08e-06,0.111,0.214,151.968
353,Share,Beatchild,Soul Movement Vol I,0.745,0.617,8,-7.642,0,0.591,0.223,0.00688,0.148,0.802,93.945
354,Enjoy Ya Self V2,Beatchild,Soul Movement Vol I,0.844,0.637,1,-3.136,0,0.0926,0.203,2.74e-05,0.0791,0.812,97.967
355,No Complaints,Metro Boomin,No Complaints,0.911,0.51,2,-10.786,1,0.185,0.0836,0.0658,0.0797,0.191,123.961
356,Signs,Drake,Signs,0.801,0.727,0,-4.687,1,0.0606,0.0864,0.00406,0.112,0.218,107.371
357,To the Max,DJ Khaled,To the Max,0.461,0.812,10,-5.776,0,0.241,0.0184,0.000375,0.21,0.72,159.869
358,Live For,The Weeknd,Kiss Land (Deluxe),0.624,0.68,0,-7.64,1,0.112,0.517,0.0,0.114,0.227,75.983
359,F*** Da Bulls***,Young Money,We Are Young Money,0.654,0.684,4,-7.953,0,0.251,0.0771,0.0,0.314,0.665,79.994
360,Pass The Dutch,Young Money,We Are Young Money,0.548,0.553,9,-10.328,1,0.457,0.254,0.0,0.111,0.874,84.24
361,Both (feat. Drake & Lil Wayne) - Remix,Gucci Mane,Both (feat. Drake & Lil Wayne) [Remix],0.834,0.493,5,-6.567,0,0.128,0.0606,7.95e-05,0.0666,0.28,140.007
362,Throw It In The Bag - Remix,Fabolous,Mandated,0.519,0.852,1,-6.696,0,0.25,0.307,0.0,0.13,0.551,113.619
363,Come Closer (feat. Drake),Wizkid,Come Closer (feat. Drake),0.835,0.457,4,-7.455,0,0.204,0.138,1.96e-06,0.109,0.544,99.99
364,"Deuces Remix (feat. Drake, Kanye West & André 3000)",Chris Brown,Deuces Remix,0.72,0.649,5,-5.187,0,0.239,0.317,0.0,0.0886,0.243,147.941
365,No Frauds,Nicki Minaj,No Frauds,0.865,0.553,1,-7.012,1,0.276,0.0788,3.17e-06,0.514,0.443,139.023
366,Celebration (feat. Drake),Tank,Now or Never,0.691,0.675,3,-5.612,0,0.146,0.345,0.0,0.229,0.925,73.024
367,Wasting Time ( feat. Drake & The Neptunes ),Brent Faiyaz,Wasting Time ( feat. Drake & The Neptunes ),0.443,0.72,7,-3.743,0,0.0733,0.0669,0.0,0.0909,0.374,89.378
368,Having Our Way (feat. Drake),Migos,Culture III,0.927,0.538,1,-3.917,1,0.116,0.0312,0.0,0.0945,0.221,125.983
369,Over The Top (feat. Drake),Smiley,Over The Top (feat. Drake),0.842,0.494,10,-5.239,0,0.103,0.0537,0.0,0.0983,0.276,139.968
370,Betrayal (feat. Drake),Trippie Redd,Trip At Knight (Complete Edition),0.74,0.564,8,-6.71,1,0.0688,0.0126,0.0,0.126,0.129,158.114
371,Bubbly (with Drake & Travis Scott),Young Thug,Punk,0.91,0.585,11,-7.572,0,0.257,0.0536,0.0,0.127,0.599,129.011
372,Champagne Poetry,Drake,Certified Lover Boy,0.423,0.667,6,-7.012,0,0.326,0.758,0.0,0.246,0.496,86.743
373,Papi’s Home,Drake,Certified Lover Boy,0.701,0.741,2,-6.157,1,0.313,0.112,0.0,0.699,0.588,140.177
374,Girls Want Girls (with Lil Baby),Drake,Certified Lover Boy,0.767,0.438,7,-8.726,0,0.29,0.181,0.0,0.142,0.381,86.975
375,In The Bible (with Lil Durk & Giveon),Drake,Certified Lover Boy,0.686,0.385,7,-8.35,0,0.297,0.614,0.0,0.131,0.147,143.07
376,Love All (with JAY-Z),Drake,Certified Lover Boy,0.73,0.576,2,-5.442,1,0.287,0.354,3.59e-05,0.15,0.155,92.131
377,Fair Trade (with Travis Scott),Drake,Certified Lover Boy,0.666,0.465,1,-8.545,1,0.26,0.0503,0.0,0.215,0.292,167.937
378,Way 2 Sexy (with Future & Young Thug),Drake,Certified Lover Boy,0.803,0.597,11,-6.035,0,0.141,0.000619,4.5e-06,0.323,0.331,136.008
379,TSU,Drake,Certified Lover Boy,0.568,0.56,9,-9.059,1,0.42,0.228,3.05e-06,0.39,0.246,130.019
380,N 2 Deep,Drake,Certified Lover Boy,0.507,0.429,2,-7.726,1,0.326,0.0518,0.0,0.109,0.0744,91.0
381,Pipe Down,Drake,Certified Lover Boy,0.518,0.69,9,-6.15,1,0.107,0.128,0.0,0.176,0.59,77.837
382,Yebba’s Heartbreak,Drake,Certified Lover Boy,0.476,0.161,8,-11.665,0,0.0407,0.967,0.0381,0.109,0.0908,119.614
383,No Friends In The Industry,Drake,Certified Lover Boy,0.84,0.744,1,-4.751,1,0.113,0.0181,0.0,0.629,0.171,83.737
384,Knife Talk (with 21 Savage ft. Project Pat),Drake,Certified Lover Boy,0.849,0.424,5,-9.579,0,0.324,0.0635,0.0,0.0834,0.153,145.887
385,7am On Bridle Path,Drake,Certified Lover Boy,0.724,0.531,5,-4.108,0,0.298,0.225,0.0,0.11,0.141,89.901
386,Race My Mind,Drake,Certified Lover Boy,0.488,0.635,10,-7.19,1,0.26,0.179,8.16e-06,0.156,0.783,174.072
387,Fountains (with Tems),Drake,Certified Lover Boy,0.843,0.485,10,-8.735,0,0.195,0.181,0.0675,0.107,0.689,100.053
388,Get Along Better,Drake,Certified Lover Boy,0.32,0.466,8,-6.77,1,0.0374,0.00645,0.0,0.133,0.338,177.693
389,You Only Live Twice (with Lil Wayne & Rick Ross),Drake,Certified Lover Boy,0.519,0.851,7,-6.001,1,0.29,0.118,0.0,0.178,0.711,123.823
390,IMY2 (with Kid Cudi),Drake,Certified Lover Boy,0.59,0.493,7,-8.704,0,0.0367,0.402,0.00504,0.129,0.0498,150.026
391,F*****g Fans,Drake,Certified Lover Boy,0.783,0.416,4,-9.84,0,0.135,0.213,0.0,0.103,0.165,87.073
392,The Remorse,Drake,Certified Lover Boy,0.473,0.53,0,-8.506,1,0.249,0.812,6.92e-06,0.227,0.637,74.732
