,name,artist,album,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
48,Trust Issues,Drake,Care Package,0.421,0.539,11,-5.456,0,0.274,0.779,0.0,0.111,0.523,89.177
49,Days in The East,Drake,Care Package,0.733,0.361,1,-11.129,1,0.135,0.348,0.000285,0.0942,0.0361,94.902
50,Draft Day,Drake,Care Package,0.673,0.81,8,-3.793,1,0.36,0.0322,0.0,0.133,0.564,166.084
51,4pm in Calabasas,Drake,Care Package,0.743,0.66,4,-4.802,0,0.418,0.115,0.0,0.101,0.549,192.031
52,5 Am in Toronto,Drake,Care Package,0.555,0.88,11,-4.325,0,0.265,0.0678,0.0,0.0723,0.391,87.195
53,I Get Lonely,Drake,Care Package,0.477,0.501,11,-9.178,0,0.0398,0.706,5.61e-06,0.0953,0.689,81.376
54,My Side,Drake,Care Package,0.549,0.495,6,-5.661,0,0.133,0.603,7.26e-06,0.0979,0.385,81.012
55,Jodeci Freestyle (feat. J. Cole),Drake,Care Package,0.498,0.844,2,-2.834,1,0.268,0.0111,0.0,0.102,0.282,88.435
56,Club Paradise,Drake,Care Package,0.338,0.729,6,-6.419,0,0.102,0.758,3.24e-05,0.18,0.543,184.174
57,Free Spirit (feat. Rick Ross),Drake,Care Package,0.508,0.748,1,-4.997,1,0.33,0.281,0.0,0.168,0.225,100.414
58,Heat Of The Moment,Drake,Care Package,0.641,0.454,5,-8.344,0,0.133,0.179,0.000116,0.065,0.302,78.036
59,Girls Love Beyoncé (feat. James Fauntleroy),Drake,Care Package,0.619,0.489,11,-11.25,0,0.46,0.782,0.0,0.106,0.328,126.046
60,Paris Morton Music,Drake,Care Package,0.505,0.494,10,-8.635,0,0.315,0.414,7.98e-05,0.105,0.141,171.978
61,Can I,Drake,Care Package,0.643,0.178,4,-8.56,0,0.0588,0.484,0.0108,0.122,0.0674,85.042
62,Survival,Drake,Scorpion,0.555,0.596,9,-9.09,0,0.375,0.133,0.0,0.123,0.145,77.324
63,Nonstop,Drake,Scorpion,0.912,0.412,7,-8.074,1,0.123,0.0165,0.0126,0.104,0.423,154.983
64,Elevate,Drake,Scorpion,0.758,0.474,1,-8.72,1,0.147,0.0152,0.0,0.116,0.0542,76.061
65,Emotionless,Drake,Scorpion,0.414,0.677,1,-5.12,1,0.254,0.0248,0.0,0.0793,0.0853,172.521
66,God's Plan,Drake,Scorpion,0.754,0.449,7,-9.211,1,0.109,0.0332,8.29e-05,0.552,0.357,77.169
67,I'm Upset,Drake,Scorpion,0.899,0.586,11,-7.866,0,0.343,0.279,0.0,0.0836,0.492,150.002
68,8 Out Of 10,Drake,Scorpion,0.527,0.689,2,-7.87,1,0.741,0.161,0.0,0.498,0.31,170.538
69,Mob Ties,Drake,Scorpion,0.754,0.575,4,-8.393,0,0.0682,0.045,0.00131,0.276,0.491,86.009
70,Can’t Take A Joke,Drake,Scorpion,0.761,0.598,10,-7.249,0,0.182,0.126,0.0,0.0839,0.446,173.897
71,Sandra’s Rose,Drake,Scorpion,0.486,0.849,1,-5.432,1,0.246,0.0481,0.0,0.143,0.519,152.086
72,Talk Up (feat. Jay-Z),Drake,Scorpion,0.758,0.491,11,-9.877,1,0.138,0.00354,6.5e-06,0.292,0.334,140.121
73,Is There More,Drake,Scorpion,0.708,0.547,1,-7.607,1,0.314,0.727,0.0,0.159,0.549,83.8
74,Peak,Drake,Scorpion,0.687,0.218,9,-13.539,0,0.0388,0.85,0.000125,0.106,0.269,91.991
75,Summer Games,Drake,Scorpion,0.776,0.482,1,-11.269,1,0.0357,0.477,0.0456,0.11,0.134,136.008
76,Jaded,Drake,Scorpion,0.764,0.271,0,-5.697,1,0.0414,0.037,0.0,0.175,0.0371,116.019
77,Nice For What,Drake,Scorpion,0.585,0.909,8,-6.474,1,0.0707,0.0891,9.7e-05,0.119,0.758,93.372
78,Finesse,Drake,Scorpion,0.807,0.319,0,-8.152,0,0.0581,0.133,0.000338,0.101,0.299,94.992
79,Ratchet Happy Birthday,Drake,Scorpion,0.657,0.571,2,-12.519,1,0.139,0.11,0.00123,0.0735,0.622,167.958
80,That’s How You Feel,Drake,Scorpion,0.85,0.473,10,-5.747,0,0.209,0.117,0.0103,0.108,0.38,85.454
81,Blue Tint,Drake,Scorpion,0.889,0.372,7,-10.254,0,0.357,0.013,0.0,0.184,0.123,133.997
82,In My Feelings,Drake,Scorpion,0.835,0.626,1,-5.833,1,0.125,0.0589,6e-05,0.396,0.35,91.03
